# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	5794
#@/user_id	32c9a853-ebe4-49e9-ac71-f12fd2996abe
a 	吖	c=2 d=0.00608616 t=5794
bu jie yi 	不介意	c=0 d=1.25924e-07 t=5794
bu jin 	不僅	c=1 d=3.8707e-11 t=5794
bu jiu 	不久	c=1 d=5.45035e-08 t=5794
bu ke 	不可	c=2 d=0.000183329 t=5794
bu lai 	不來	c=0 d=3.08336e-13 t=5794
bu le 	不了	c=1 d=4.05155e-12 t=5794
bu liao 	不了	c=2 d=4.71236e-11 t=5794
bu mai 	不買	c=1 d=8.80668e-06 t=5794
bu men 	部門	c=2 d=4.01133e-07 t=5794
bu neng 	不能	c=6 d=0.0119743 t=5794
bu qing chu 	不清楚	c=1 d=2.75364e-06 t=5794
bu qu 	不去	c=2 d=1.5613e-06 t=5794
bu rang 	不讓	c=2 d=0.971443 t=5794
bu shang 	補上	c=2 d=0.00213348 t=5794
bu shi 	不是	c=12 d=0.0242495 t=5794
bu shi he 	不適合	c=1 d=0.000420107 t=5794
bu shu 	部署	c=6 d=0.0789511 t=5794
bu shu fu 	不舒服	c=1 d=5.99557e-12 t=5794
bu song 	不送	c=1 d=8.63377e-08 t=5794
bu tai 	不太	c=3 d=0.00701293 t=5794
bu ting de 	不停地	c=0 d=0.00204453 t=5794
bu ting de wen 	不停地問	c=1 d=0.0205478 t=5794
bu tong 	不同	c=2 d=0.153079 t=5794
bu wan 	不玩	c=1 d=9.88334e-10 t=5794
bu wang 	不忘	c=1 d=1.20072e-05 t=5794
bu xi huan 	不喜歡	c=1 d=7.75312e-07 t=5794
bu xiang 	不想	c=3 d=1.11899e-09 t=5794
bu xiang dong 	不想動	c=1 d=1.86083e-12 t=5794
bu xing 	不行	c=3 d=3.76344e-05 t=5794
bu xu yao 	不需要	c=2 d=0.00501661 t=5794
bu yao 	不要	c=15 d=0.585133 t=5794
bu yi ding 	不一定	c=1 d=6.5727e-05 t=5794
bu yi yang 	不一樣	c=2 d=2.35567e-12 t=5794
bu yong 	不用	c=1 d=3.06694e-08 t=5794
bu zai 	不再	c=2 d=3.24233e-07 t=5794
bu zhi 	不止	c=1 d=3.96801e-09 t=5794
bu zhi 	不知	c=0 d=2.31275e-12 t=5794
bu zhi da 	不知打	c=1 d=2.32434e-11 t=5794
bu zhi dao 	不知道	c=11 d=0.000266598 t=5794
bu zuo 	不做	c=1 d=6.84444e-11 t=5794
cai 	才	c=6 d=6.3241e-05 t=5794
cai dan 	菜單	c=15 d=1.04352e-06 t=5794
cai dan lan 	菜單欄	c=1 d=7.06873e-08 t=5794
cai hui 	纔會	c=1 d=7.75576e-11 t=5794
cai xing 	才行	c=1 d=0.00467746 t=5794
cai you 	纔有	c=2 d=1.94128 t=5794
can jia 	參加	c=2 d=0.0345871 t=5794
can shu 	參數	c=1 d=3.50963e-06 t=5794
can yu 	參與	c=1 d=0.229925 t=5794
cao zong 	操縱	c=2 d=0.814928 t=5794
cao zuo 	操作	c=10 d=0.000305127 t=5794
ce shi 	測試	c=15 d=1.14435 t=5794
cha 	叉	c=2 d=1.97966e-05 t=5794
cha 	查	c=2 d=5.44471e-07 t=5794
cha bu 	插補	c=0 d=3.6084e-10 t=5794
cha bu cuo 	插補錯	c=1 d=3.62649e-09 t=5794
cha bu dao 	查不到	c=2 d=5.9981e-07 t=5794
cha bu duo 	差不多	c=3 d=0.000144824 t=5794
cha bu duo le 	差不多了	c=1 d=3.64467e-09 t=5794
cha jian 	插件	c=2 d=0.000184954 t=5794
cha ju 	茶具	c=2 d=5.50944e-09 t=5794
cha kan 	查看	c=1 d=6.06944e-09 t=5794
cha xia 	查下	c=1 d=2.51707e-07 t=5794
cha xun 	查詢	c=2 d=0.150318 t=5794
cha zhao 	查找	c=1 d=0.000208619 t=5794
chan sheng 	產生	c=1 d=0.0505395 t=5794
chang 	長	c=3 d=0.262244 t=5794
chang ge 	唱歌	c=1 d=4.84572e-07 t=5794
chang yong 	常用	c=0 d=2.76933e-14 t=5794
chang yong ming ling 	常用命令	c=1 d=2.78321e-13 t=5794
chao 	炒	c=1 d=2.38237e-07 t=5794
chao 	超	c=1 d=2.37049e-07 t=5794
chao fan 	炒飯	c=1 d=0.000146278 t=5794
chao shi 	超市	c=1 d=3.1696e-13 t=5794
chao xie 	抄寫	c=1 d=0.603506 t=5794
che 	車	c=3 d=6.06881e-08 t=5794
che suo 	車鎖	c=1 d=4.00926e-13 t=5794
che yao shi 	車鑰匙	c=1 d=3.92987e-13 t=5794
che zi 	車子	c=1 d=5.73175e-12 t=5794
chen 	宸	c=1 d=3.07488e-09 t=5794
chen 	陳	c=1 d=0.00123091 t=5794
chen zao 	趁早	c=1 d=2.04558e-08 t=5794
cheng 	城	c=0 d=4.55407e-13 t=5794
cheng 	成	c=2 d=0.00521359 t=5794
cheng ben 	成本	c=1 d=0.0295994 t=5794
cheng gong 	成功	c=2 d=6.67204e-05 t=5794
cheng nuo 	承諾	c=1 d=0.0475963 t=5794
cheng shi 	城市	c=1 d=1.6453e-05 t=5794
cheng wei 	成爲	c=1 d=0.249075 t=5794
cheng xu 	程序	c=7 d=0.0962882 t=5794
cheng xu kai 	程序開	c=1 d=1.17128e-07 t=5794
cheng xu yuan 	程序員	c=5 d=0.363667 t=5794
cheng xu yuan 	程序猿	c=1 d=0.774916 t=5794
cheng zhang 	成長	c=2 d=1.06524 t=5794
chi 	吃	c=6 d=0.00302884 t=5794
chi 	池	c=1 d=0.000696112 t=5794
chi 	遲	c=3 d=0.00130703 t=5794
chi ba 	吃吧	c=1 d=2.56129e-06 t=5794
chi dian 	吃點	c=0 d=2.86057e-13 t=5794
chi fan 	吃飯	c=4 d=0.00396746 t=5794
chi wan fan 	吃完飯	c=1 d=1.44125e-06 t=5794
chong 	充	c=1 d=3.8514e-11 t=5794
chong 	沖	c=2 d=7.76948e-12 t=5794
chong dian 	充電	c=1 d=3.04532e-13 t=5794
chong sheng 	重生	c=5 d=0.412908 t=5794
chong wu 	寵物	c=3 d=0.00270959 t=5794
chong xie 	重寫	c=1 d=8.70246e-13 t=5794
chong xin 	重新	c=2 d=0.0102037 t=5794
chu 	出	c=1 d=0.0340475 t=5794
chu bu lai 	出不來	c=1 d=2.0615e-11 t=5794
chu chai 	出差	c=1 d=3.83154e-09 t=5794
chu fa 	出發	c=1 d=0.00152616 t=5794
chu lai 	出來	c=3 d=0.00600598 t=5794
chu le 	除了	c=1 d=4.34022e-05 t=5794
chu li 	處理	c=1 d=0.193013 t=5794
chu men 	出門	c=5 d=3.07551e-06 t=5794
chu ru 	出入	c=3 d=5.68406e-08 t=5794
chu ru jin 	出入金	c=2 d=1.24914e-08 t=5794
chu xian 	出現	c=4 d=7.47651e-08 t=5794
chuan bo 	傳播	c=1 d=0.196912 t=5794
chuan yue 	穿越	c=1 d=0.000122182 t=5794
chuang 	創	c=2 d=0.0141223 t=5794
chuang 	床	c=2 d=9.16878e-13 t=5794
chuang 	窗	c=3 d=0.873716 t=5794
chuang jian 	創建	c=1 d=0.0837432 t=5794
chuang kou 	窗口	c=10 d=3.67115 t=5794
chuang ye 	創業	c=3 d=4.76795e-08 t=5794
chui chui 	吹吹	c=1 d=1.36742e-05 t=5794
chui zi 	錘子	c=1 d=4.4724e-05 t=5794
chun 	春	c=4 d=0.00114452 t=5794
chun 	純	c=1 d=9.58962e-08 t=5794
ci 	次	c=1 d=2.1232e-05 t=5794
ci bei 	慈悲	c=0 d=0.0484325 t=5794
ci bei xin 	慈悲心	c=1 d=0.486752 t=5794
cong 	從	c=2 d=0.0393732 t=5794
cu 	粗	c=1 d=9.68599e-08 t=5794
cu xiao 	促銷	c=1 d=0.00256704 t=5794
cui hui 	摧毀	c=1 d=1.6371e-05 t=5794
cuo 	錯	c=2 d=2.47098e-05 t=5794
cuo wu 	錯誤	c=5 d=0.771916 t=5794
da 	大	c=4 d=0.681481 t=5794
da 	打	c=2 d=5.77158e-08 t=5794
da 	搭	c=3 d=5.93864e-05 t=5794
da an 	答案	c=1 d=2.88785e-06 t=5794
da ba 	大把	c=1 d=1.37119e-08 t=5794
da bao 	打包	c=1 d=3.49391e-12 t=5794
da bao zha 	大爆炸	c=1 d=0.0365162 t=5794
da bu kai 	打不開	c=2 d=3.51277e-09 t=5794
da dian hua 	打電話	c=3 d=2.65472e-08 t=5794
da gong 	打工	c=1 d=1.53063e-08 t=5794
da gong si 	大公司	c=1 d=1.41295e-08 t=5794
da hua xi you 	大話西遊	c=1 d=3.84943e-05 t=5794
da jian 	搭建	c=3 d=3.64146e-05 t=5794
